_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
147007416042757559,294014808041906688,19.129853449686145,24.32108334950336,1679.0530277042828,-679.8915005373071,13.6215315,15.2982435,12.381662,True,True,True,True,False,True,True,True,True,True,False,False,False
154128309589626983,308256610357824640,16.41654124373291,28.49182706234333,1917.6506594295265,-187.26396142979064,12.949484,15.111021,11.596436,True,True,True,True,False,True,True,True,True,True,False,False,False
154988692038087756,309977380415042432,17.34632105438131,29.82564749247516,1011.2685367485816,368.2271303909495,17.565262,20.652775,16.020535,True,True,True,True,False,True,True,True,True,True,False,False,False
157461309238444491,314922605759778048,16.95672268435582,34.21062011839555,1373.6228544046069,480.4575488701561,12.357573,13.602087,11.251356,True,True,True,True,False,True,True,True,True,True,False,False,False
163086523993312679,326173044957518080,34.26965162484768,34.22313618253068,1151.9350274578856,-246.60542439770165,4.6710567,5.013268,4.1817183,True,True,True,True,False,False,True,True,True,True,False,False,False
166505171060087404,333010327952701696,32.842803475243166,39.92041953166222,1028.6780317553662,-500.415391620317,14.405324,14.583219,14.09747,True,True,True,True,False,False,True,True,True,True,False,False,False
175714977741968816,351429930856782464,34.24694095145467,42.96552846951161,852.7359501667565,-583.7546979209678,16.044624,16.43083,15.488839,True,True,True,True,False,False,True,True,True,True,False,False,False
192667106615253453,385334196532776576,4.625300681217554,44.02874451664357,2862.7964264973784,336.43190371856457,9.686646,11.291516,8.455489,True,True,True,True,False,False,True,True,True,True,False,False,False
192667118235613340,385334230892516480,4.613226257557736,44.02478674398518,2891.5180773367792,411.8320203661465,7.218567,8.332124,6.16774,True,True,True,True,False,False,True,True,True,True,False,False,False
205706917900192342,411413822074322432,17.094749861202942,54.91320397755905,3468.251393146748,-1564.8444473117734,4.9480124,5.326608,4.4043818,True,True,True,True,False,False,True,True,True,True,False,False,False
211513564734364705,423027104407576576,2.874734923550554,59.13922658078038,-905.7217674154336,-1166.8263106109798,13.467986,15.901472,12.079866,True,True,True,True,False,False,True,True,True,True,False,False,False
212211149163273780,424422281584852352,12.887572567149853,58.30383036764994,1566.9552096327047,405.3209068230557,9.966077,10.880156,9.019614,True,True,True,True,False,False,True,True,True,True,False,False,False
212520001990207398,425040000962559616,12.285227381524424,57.81272812559009,1078.6091666696218,-551.1334202185512,3.3200667,3.7355075,2.8486214,True,True,True,True,False,False,True,True,True,True,False,False,False
212520008350336364,425040000962497792,12.281184764215306,57.815739188554126,1144.6933944408322,-469.6676185295058,6.762044,7.6099744,5.8559637,True,True,True,True,False,False,True,True,True,True,False,False,False
218324078890714788,436648129327098496,47.27540485964256,49.612873858437766,1262.1927940527312,-91.08282222682244,3.9026392,4.208915,3.42685,True,True,True,True,False,False,True,True,True,True,False,False,False
229009168750026811,458018340407727104,37.87447894404984,57.37870558540406,1115.7192342216508,11.126863327716851,12.018761,13.508623,10.820139,True,True,True,True,False,False,True,True,True,True,False,False,False
233145901998133692,466291787445425408,46.18775080143947,61.732698385027234,717.930941994405,-696.2499108809875,11.493313,12.786031,10.357673,True,True,True,True,False,False,True,True,True,True,False,False,False
233147147507275956,466294295706341760,46.04692580019409,61.702747952450125,723.241197317604,-691.733983911379,6.483679,6.8083496,5.980904,True,True,True,True,False,False,True,True,True,True,False,False,False
235413250404097112,470826482637310080,67.80919062832808,58.96797997154744,1300.3647836025643,-2046.1055188965704,9.702565,11.347691,8.451808,True,True,True,True,False,False,True,True,True,True,False,False,False
235413251297611560,470826482637310848,67.81389197465391,58.969481205135885,1334.7796929514584,-1947.638150541708,12.33619,12.493927,12.051627,True,True,True,True,False,False,True,True,True,True,False,False,False
245902936062061598,491805851686912000,52.83590579258067,66.72554589521889,1191.4934067979698,-1066.357841167769,9.711251,10.074278,9.163455,True,True,True,True,False,False,True,True,True,True,False,False,False
261656500798350059,523313040665475968,17.123653708587792,63.5152601027932,1046.5834123207258,-89.71161477151756,11.230818,11.714634,10.58161,True,True,True,True,False,False,True,True,True,True,False,False,False
261716799054796346,523433578540463488,16.799809785868064,63.94274599288117,1546.944248373948,319.0294431936024,8.415902,9.195679,7.5538945,True,True,True,True,False,False,True,True,True,True,False,False,False
263978258542734527,527956488339113600,8.142840068147475,67.23327824206002,1703.2256352835657,-250.05623854616192,11.106811,12.515979,9.896468,True,True,True,True,False,False,True,True,True,True,False,False,False
263978258627148342,527956488340229632,8.14303081725879,67.23432836058251,1748.3189457862784,-347.5892927945718,9.566636,10.725487,8.421021,True,True,True,True,False,False,True,True,True,True,False,False,False
266810932069379732,533621859441169920,15.659011875595588,71.67812049454075,1746.7010132181863,-381.76236971875386,8.941875,10.254671,7.7960787,True,True,True,True,False,False,True,True,True,True,False,False,False
273690796504770175,547381594623756416,47.771960037151786,73.76736018461561,1825.648859924083,-1074.9271019484925,13.015211,14.957096,11.711619,True,True,True,True,False,False,True,True,True,True,False,False,False
276796707603809424,553593388644803968,84.5721638154509,79.51815891578426,834.1588359659545,-867.5744186347524,15.844064,18.670471,14.399415,True,True,True,True,False,False,True,True,True,True,False,False,False
279061151160369797,558122277038055808,83.29890115430591,82.77182612147968,2038.7941275555197,-1662.957623868994,,,18.49547,True,True,True,True,False,False,True,True,True,True,False,False,False
286636851390764820,573273684709125504,19.92451075024575,84.16122554058276,-981.8531464972532,475.5799692144764,13.098176,15.055703,11.792771,True,False,True,True,False,False,True,True,True,True,False,False,False
