_healpix_29,CLASS_STAR_G_des,CLASS_STAR_R_des,CLASS_STAR_I_des,CLASS_STAR_Z_des,CLASS_STAR_Y_des,FLAGS_G_des,FLAGS_R_des,FLAGS_I_des,FLAGS_Z_des,FLAGS_Y_des,RA_des,DEC_des,COADD_OBJECT_ID_des,SPREAD_MODEL_G_des,SPREAD_MODEL_R_des,SPREAD_MODEL_I_des,SPREAD_MODEL_Z_des,SPREAD_MODEL_Y_des,WAVG_MAG_PSF_G_des,WAVG_MAG_PSF_R_des,WAVG_MAG_PSF_I_des,WAVG_MAG_PSF_Z_des,WAVG_MAG_PSF_Y_des,WAVG_MAGERR_PSF_G_des,WAVG_MAGERR_PSF_R_des,WAVG_MAGERR_PSF_I_des,WAVG_MAGERR_PSF_Z_des,WAVG_MAGERR_PSF_Y_des,ra_gaia,dec_gaia,pmra_gaia,pmdec_gaia,_dist_arcsec
1153482605725265461,0.8448876142501831,0.8453714847564697,0.8448070883750916,0.845333456993103,0.8448274731636047,3,3,3,3,3,1.386363,-37.369781,1043295027,-0.015228819102048874,0.040007561445236206,0.03763888403773308,0.03423822298645973,0.05000240355730057,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.3832841523481234,-37.36774402806293,5633.438087895326,-2334.7212726520424,11.46167747145821
1257518643390044839,0.8445635437965393,0.8450754284858704,0.845251202583313,0.8437319993972778,0.8014611601829529,2,2,2,2,2,33.079341,3.567016,1250008459,0.02825137786567211,0.024655744433403015,0.02265254594385624,0.02233254350721836,0.03233387693762779,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,33.07959930325112,3.567385154970191,-1762.4057179489491,-1852.8711000327555,1.620950405686436
2368327529620177120,0.3250999450683594,0.17787779867649078,0.29394611716270447,0.1404205858707428,0.00110152259003371,0,0,0,0,0,53.568008,-49.893871,1398391104,-0.006986065302044153,0.00046440097503364086,0.004161654971539974,0.024925582110881805,0.029060257598757744,24.553565979003906,23.715429306030273,23.094165802001953,22.574403762817383,-99.0,0.23629795014858246,0.06256157159805298,0.07082163542509079,0.11551960557699203,-99.0,53.56719574134565,-49.89008390582608,2360.5922060078024,483.1275044783075,13.763071817699448
2390050329526096144,0.12580318748950958,0.12006545066833496,0.02860111929476261,0.02862672694027424,0.02862672694027424,3,3,3,3,3,62.610625,-53.614224,1464092812,0.010485614649951458,0.03873612731695175,0.03714936599135399,0.040352221578359604,0.04188944026827812,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,62.61100025779547,-53.61299677064624,-825.1793703584685,-2415.577565183988,4.490123103808972
2405297220004419732,0.1942073255777359,0.8452896475791931,0.8448901176452637,0.8452842831611633,0.029913296923041344,3,3,3,3,3,77.964238,-45.04643,1540617639,0.008838951587677002,0.006245710887014866,0.0026616232935339212,0.001698229694738984,0.005954029969871044,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,77.9599373502188,-45.0438126993602,6491.223339061598,-5708.614150045243,14.437522213766785
2423978658324676571,0.845425009727478,0.845425009727478,0.8454062342643738,0.8453711867332458,0.8451301455497742,22,22,18,18,22,50.000054,-43.066641,1445898840,-0.0001322507596341893,-9.179817425319925e-06,1.1104500117653515e-05,9.01115436136024e-06,1.8304212971997913e-06,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,50.00034361894219,-43.06655252783423,3035.01731561514,726.9644815849239,0.8256110087856088
2450054482295873745,0.8448390364646912,0.8450140953063965,0.8451171517372131,0.845266580581665,0.8449822664260864,2,2,2,2,6,5.037242,-64.869108,1054999950,0.00047356318100355566,0.00027583507471717894,-0.00039659146568737924,0.0004043035442009568,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5.035609547427471,-64.86961713712722,1706.7468552126231,1164.959442628905,3.096527352681012
2468500457058623057,0.8453601002693176,0.029196910560131073,0.8453409075737,0.8429747223854065,0.047746241092681885,2,3,2,2,2,32.623122,-50.820946,1243465193,0.005569571629166603,0.001849715830758214,0.001703171874396503,0.0010356537532061338,0.0047410717234015465,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,32.62294594706244,-50.82090583925884,2125.416146679918,637.975043070748,0.4256982412522185
2468500457058623057,0.8453601002693176,0.029196910560131073,0.8453409075737,0.8429747223854065,0.047746241092681885,2,3,2,2,2,32.623122,-50.820946,1243465193,0.005569571629166603,0.001849715830758214,0.001703171874396503,0.0010356537532061338,0.0047410717234015465,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,32.62406949532682,-50.820823199984886,2168.886011133065,710.8477271238621,2.1997573845479974
2503116016090087218,0.1416340321302414,0.10852623730897903,0.00769093818962574,0.009382081218063831,0.014641896821558475,3,3,3,3,3,11.340723,-33.50167,1094555899,0.01443792786449194,0.016888977959752083,0.014474681578576565,0.01847711391746998,0.01647469587624073,-99.0,23.862964630126953,23.351394653320312,22.496925354003906,-99.0,-99.0,0.09692824631929398,0.08511283248662949,0.06881885975599289,-99.0,11.341388564246584,-33.49799318171793,1826.3739861028207,-1485.0103425930354,13.386494338274197
