_healpix_29,CLASS_STAR_G,CLASS_STAR_R,CLASS_STAR_I,CLASS_STAR_Z,CLASS_STAR_Y,FLAGS_G,FLAGS_R,FLAGS_I,FLAGS_Z,FLAGS_Y,RA,DEC,COADD_OBJECT_ID,SPREAD_MODEL_G,SPREAD_MODEL_R,SPREAD_MODEL_I,SPREAD_MODEL_Z,SPREAD_MODEL_Y,WAVG_MAG_PSF_G,WAVG_MAG_PSF_R,WAVG_MAG_PSF_I,WAVG_MAG_PSF_Z,WAVG_MAG_PSF_Y,WAVG_MAGERR_PSF_G,WAVG_MAGERR_PSF_R,WAVG_MAGERR_PSF_I,WAVG_MAGERR_PSF_Z,WAVG_MAGERR_PSF_Y,NEPOCHS_G,NEPOCHS_R,NEPOCHS_I,NEPOCHS_Z,NEPOCHS_Y,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2365588896711673656,0.679783046245575,0.6738993525505066,0.6869695782661438,0.41555044054985046,0.5705885291099548,3,3,3,3,3,57.789181,-56.457732,1423270931,0.006448821630328894,0.009814433753490448,0.008855209685862064,0.005876175127923489,-0.02828313782811165,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0,0,0,0,0,4731177819694416000,57.79123387834184,-56.456614645499855,272.49112446153583,-1043.1123256982198,19.99751,20.687986,19.061255
2365588907847830054,0.028271520510315895,0.03419893980026245,0.029081551358103752,0.02858775295317173,0.027390114963054657,3,3,3,3,3,57.791379,-56.45693,1423270647,0.008390356786549091,0.006059318780899048,0.010937540791928768,0.0177974421530962,0.013709711842238903,21.255956649780273,19.89244270324707,19.415752410888672,19.215795516967773,19.23847007751465,0.012747423723340034,0.005007927305996418,0.0049836523830890656,0.008280327543616295,0.017643054947257042,2,2,2,1,2,4731177819694416000,57.79123387834184,-56.456614645499855,272.49112446153583,-1043.1123256982198,19.99751,20.687986,19.061255
2365588908303030192,0.9820078611373901,0.9837125539779663,0.986247181892395,0.9822770357131958,0.043376095592975616,3,3,3,3,3,57.790954,-56.456025,1423270704,-0.002394159324467182,-0.0021114503033459187,-0.0013610116438940167,-0.00247037410736084,0.004249130375683308,21.250530242919922,19.896564483642578,19.422218322753906,19.220369338989258,19.210783004760742,0.007821573875844479,0.0033502052538096905,0.003333932487294078,0.004546350333839655,0.017767203971743584,5,4,4,4,4,4731177819694416000,57.79123387834184,-56.456614645499855,272.49112446153583,-1043.1123256982198,19.99751,20.687986,19.061255
2368327531030238472,0.048989225178956985,0.4041670560836792,0.9941402673721313,0.028650479391217232,0.028268281370401382,3,3,3,3,3,53.568288,-49.889944,1398389893,0.0070049948990345,0.00867454707622528,0.008454780094325542,-0.008801579475402832,0.035676103085279465,20.017629623413086,17.650907516479492,14.984835624694824,-99.0,-99.0,0.008202018216252327,0.0019407558720558882,0.0005538539844565094,-99.0,-99.0,1,1,1,0,0,4736655036868019072,53.56719574134565,-49.89008390582608,2360.5922060078024,483.1275044783075,15.837138,19.476444,14.289389
2368327531192805278,0.7179142236709595,0.9840561747550964,0.8486979007720947,0.5444283485412598,0.028628407046198845,3,3,3,3,3,53.569137,-49.889858,1398389649,-0.0011641221353784204,-0.002926715649664402,0.03640231117606163,0.025634843856096268,0.03311237320303917,20.024307250976562,17.654741287231445,-99.0,-99.0,-99.0,0.006061020772904158,0.002121138386428356,-99.0,-99.0,-99.0,2,1,0,0,0,4736655036868019072,53.56719574134565,-49.89008390582608,2360.5922060078024,483.1275044783075,15.837138,19.476444,14.289389
2368327531800295395,0.34410515427589417,0.7744768857955933,0.03239808231592178,0.19668273627758026,0.2784089148044586,3,3,3,3,3,53.565075,-49.890386,1398389232,0.0030683595687150955,0.0023307790979743004,0.03702487051486969,0.037572767585515976,0.017485613003373146,20.047636032104492,17.656448364257812,-99.0,-99.0,12.962267875671387,0.004738449584692717,0.000940299010835588,-99.0,-99.0,0.00041168549796566367,3,4,0,0,2,4736655036868019072,53.56719574134565,-49.89008390582608,2360.5922060078024,483.1275044783075,15.837138,19.476444,14.289389
2376199749466351719,0.6349305510520935,0.9823148846626282,0.983616292476654,0.984813392162323,0.6623547673225403,3,3,3,3,3,43.771096,-47.016456,1351939291,-0.005755642428994179,-0.003182673593983054,-0.005524130538105965,-0.00012315603089518845,0.0074127670377492905,23.49040412902832,20.606517791748047,18.067113876342773,15.791326522827148,15.212054252624512,0.05910716950893402,0.005479981191456318,0.001391214202158153,0.0005014226189814508,0.0010715966345742345,5,4,4,4,3,4752399493622045696,43.77198593477078,-47.01672835622661,1012.4447203711676,-554.03083867335,18.57293,21.753365,16.880054
2376199750033784543,0.004448585212230682,0.02850896678864956,0.08257503807544708,0.021452007815241814,0.03421982005238533,3,3,3,3,3,43.772571,-47.016996,1351939283,0.007883704267442226,0.011353817768394947,0.013328391127288342,0.014247102662920952,0.009837770834565163,23.712121963500977,20.60559844970703,18.068391799926758,15.789148330688477,15.223133087158203,0.1148972287774086,0.008784410543739796,0.0020559628028422594,0.0005850563757121563,0.001800286932848394,2,2,2,3,1,4752399493622045696,43.77198593477078,-47.01672835622661,1012.4447203711676,-554.03083867335,18.57293,21.753365,16.880054
2468500457058623057,0.8453601002693176,0.029196910560131073,0.8453409075737,0.8429747223854065,0.047746241092681885,2,3,2,2,2,32.623122,-50.820946,1243465193,0.005569571629166603,0.001849715830758214,0.001703171874396503,0.0010356537532061338,0.0047410717234015465,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0,0,0,0,0,4937000898856154624,32.62406949532682,-50.820823199984886,2168.886011133065,710.8477271238621,13.0888405,,
2498070585985855145,0.0003044295881409198,0.03631007298827171,0.269385427236557,0.12131182849407196,0.11979424208402634,3,3,3,3,3,1.149587,-40.742469,1041833675,0.024301176890730858,0.013729491271078587,0.006641154643148184,0.023333236575126648,-0.0075197587721049786,23.279296875,-99.0,-99.0,-99.0,-99.0,0.12026680260896683,-99.0,-99.0,-99.0,-99.0,1,0,0,0,0,4996141155411984128,1.149203206864745,-40.74178765539875,668.8881923601136,-1498.236012315344,18.372276,21.390856,16.70431
